lat,lon,Tmin,Tmax,Tmean,RHmin,RHmax,uz,n,pressure,doy,z
44.6406,7.6075,15.16,26.13,20.58625,47,100,1.537916667,0,101.1625,260,238
44.6406,7.6075,16.13,24.92,20.27083333,47,100,1.643333333,0,101.25,261,238
44.6406,7.6075,14.46,22.54,18.42583333,36,100,2.165,1,100.9833333,262,238
44.6406,7.6075,12.13,22.12,16.70458333,33,100,2.48625,0,101.4375,263,238
44.6406,7.6075,12.14,21.67,16.385,46,100,1.470833333,3,102.325,264,238
44.6406,7.6075,12.1,23.57,17.57,43,100,1.71125,12,102.2666667,265,238
44.6406,7.6075,14.93,22.23,17.66083333,46,88,1.435416667,2,102.2416667,266,238
44.6406,7.6075,12.53,25.51,18.74583333,46,100,1.607083333,11,101.875,267,238
44.6406,7.6075,16.93,20.23,18.64083333,68,100,1.778333333,0,102.1291667,268,238
44.6406,7.6075,14.9,20.41,17.68333333,82,100,1.585,0,102.0416667,269,238
44.6406,7.6075,13.66,23.07,18.00458333,60,100,1.28375,0,101.8583333,270,238
44.6406,7.6075,13.75,23.35,18.52166667,57,100,1.650416667,0,101.9875,271,238
44.6406,7.6075,14.36,23.31,18.23125,50,100,1.671666667,0,101.8583333,272,238
44.6406,7.6075,12.5,22.09,16.87166667,35,93,1.993333333,5,102.3208333,273,238
44.6406,7.6075,14.32,19.42,16.16166667,64,94,1.82125,0,102.3041667,274,238
44.6406,7.6075,14.04,18.26,16.19333333,53,100,1.499166667,0,101.8791667,275,238
44.6406,7.6075,15.17,17.33,16.0975,72,100,1.735833333,0,101.7291667,276,238
44.6406,7.6075,14.47,16.28,15.2425,77,100,1.77875,0,101.5125,277,238
44.6406,7.6075,14.25,17.5,15.56666667,77,100,1.77875,0,101.1666667,278,238
44.6406,7.6075,9.98,20.44,15.62541667,28,100,2.572083333,9,101.3875,279,238
44.6406,7.6075,8.26,19.54,13.62166667,22,93,2.1425,10,101.7125,280,238
44.6406,7.6075,10.05,18.98,14.47208333,40,82,2.2075,0,102.05,281,238
44.6406,7.6075,11.93,15.01,13.44041667,59,93,1.842083333,0,102.3166667,282,238
44.6406,7.6075,8.46,17.12,12.63708333,51,100,1.56375,4,102.0708333,283,238
44.6406,7.6075,5.72,19.85,12.05875,30,100,1.800416667,10,101.8958333,284,238
44.6406,7.6075,7.37,18.08,12.51708333,48,100,1.77875,3,101.5625,285,238
44.6406,7.6075,9.08,18.3,13.31041667,24,100,1.949166667,8,101.7125,286,238
44.6406,7.6075,7.19,16.81,11.50458333,48,93,1.354166667,4,102.3458333,287,238
44.6406,7.6075,4.99,15.85,9.799583333,51,100,1.349583333,0,101.875,288,238
44.6406,7.6075,4.86,17.82,10.66958333,45,100,1.649166667,11,101.8375,289,238
44.6406,7.6075,5.86,18.34,11.36166667,39,100,1.783333333,10,102.0541667,290,238
44.6406,7.6075,6.01,19.67,12.03708333,40,100,1.649583333,6,102.3916667,291,238
44.6406,7.6075,6.88,19.07,12.43541667,55,100,1.671666667,0,102.775,292,238
44.6406,7.6075,8.73,16.09,12.69625,67,100,1.327916667,0,102.3791667,293,238
44.6406,7.6075,11.3,16.97,13.80166667,63,100,1.3925,0,101.4166667,294,238
44.6406,7.6075,9.31,19.01,13.94833333,42,100,1.86375,8,101.6041667,295,238
44.6406,7.6075,6.98,15.89,10.9025,59,100,1.778333333,6,102.2833333,296,238
44.6406,7.6075,8.05,14.61,10.47583333,63,100,1.606666667,0,102.7333333,297,238
